Filename,Duration (ms),FPS,Width,Height,Aspect Ratio,Original Filesize (KB),Output Filesize (KB),Saved Percent,Time to Process,Time,Date,Username 
H:\_PSP\VIDEO\PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:07:53.43,Fri 09/09/2022,Jenkins 
H:\_PSP\VIDEO\PSP\PSP\VIDEO\S01E02 - Training Day [1080p]_q28_JMPSPMC.MP4,1292626,23.976,1920,1080,1.778,703737,703737,100,00secs,10:07:57.22,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:10:37.38,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:13:30.05,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:15:17.99,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:17:30.97,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E02 - Training Day [1080p]_q28_JMPSPMC.MP4,1292626,23.976,1920,1080,1.778,703737,703737,100,00secs,10:17:41.25,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,724156,100,00secs,10:22:52.03,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E01 - Mole Hunt [1080p]_q28_JMPSPMC.MP4,1292793,23.976,1918,1080,1.776,724156,700900,96,01mins 04secs,10:28:23.45,Fri 09/09/2022,Jenkins 
H:\_PSP\PSP\VIDEO\S01E02 - Training Day [1080p]_q28_JMPSPMC.MP4,1292626,23.976,1920,1080,1.778,703737,679058,96,01mins 03secs,10:29:29.70,Fri 09/09/2022,Jenkins 
